date,tournament,surface,source_player,rd,rk,vrk,winner,loser,score
5-Apr-2026,Monte-Carlo,Clay,Jannik Sinner,R16,2,53,,,Live Scores
5-Apr-2026,Monte-Carlo,Clay,Jannik Sinner,R32,2,34,Jannik Sinner,Ugo Humbert,6-3 6-0
18-Mar-2026,Miami Masters,Hard,Jannik Sinner,F,2,22,Jannik Sinner,Jiri Lehecka,6-4 6-4
18-Mar-2026,Miami Masters,Hard,Jannik Sinner,SF,2,4,Jannik Sinner,Alexander Zverev,6-3 7-6(4)
18-Mar-2026,Miami Masters,Hard,Jannik Sinner,QF,2,20,Jannik Sinner,Frances Tiafoe,6-2 6-2
18-Mar-2026,Miami Masters,Hard,Jannik Sinner,R16,2,40,Jannik Sinner,Alex Michelsen,7-5 7-6(4)
18-Mar-2026,Miami Masters,Hard,Jannik Sinner,R32,2,33,Jannik Sinner,Corentin Moutet,6-1 6-4
18-Mar-2026,Miami Masters,Hard,Jannik Sinner,R64,2,76,Jannik Sinner,Damir Dzumhur,6-3 6-3
4-Mar-2026,Indian Wells Masters,Hard,Jannik Sinner,F,2,11,Jannik Sinner,Daniil Medvedev,7-6(6) 7-6(4)
4-Mar-2026,Indian Wells Masters,Hard,Jannik Sinner,SF,2,4,Jannik Sinner,Alexander Zverev,6-2 6-4
4-Mar-2026,Indian Wells Masters,Hard,Jannik Sinner,QF,2,27,Jannik Sinner,Learner Tien,6-1 6-2
4-Mar-2026,Indian Wells Masters,Hard,Jannik Sinner,R16,2,35,Jannik Sinner,Joao Fonseca,7-6(6) 7-6(4)
4-Mar-2026,Indian Wells Masters,Hard,Jannik Sinner,R32,2,39,Jannik Sinner,Denis Shapovalov,6-3 6-2
4-Mar-2026,Indian Wells Masters,Hard,Jannik Sinner,R64,2,109,Jannik Sinner,Dalibor Svrcina,6-1 6-1
16-Feb-2026,Doha,Hard,Jannik Sinner,QF,2,16,Jakub Mensik,Jannik Sinner,7-6(3) 2-6 6-3
16-Feb-2026,Doha,Hard,Jannik Sinner,R16,2,53,Jannik Sinner,Alexei Popyrin,6-3 7-5
16-Feb-2026,Doha,Hard,Jannik Sinner,R32,2,31,Jannik Sinner,Tomas Machac,6-1 6-4
