name,age,plays,current_rank,peak_rank,elo_rank
Jannik Sinner,24,Right (two-handed backhand),2,1 (10-Jun-2024),1 (rating: 2297)
Carlos Alcaraz,22,Right (two-handed backhand),1,1 (12-Sep-2022),2 (rating: 2272)
Novak Djokovic,38,Right (two-handed backhand),4,1 (04-Jul-2011),3 (rating: 2100)
Alexander Zverev,28,Right (two-handed backhand),3,2 (13-Jun-2022),4 (rating: 2069)
Daniil Medvedev,30,Right (two-handed backhand),10,1 (28-Feb-2022),5 (rating: 2019)
Alex De Minaur,27,Right (two-handed backhand),6,6 (15-Jul-2024),6 (rating: 2009)
Felix Auger Aliassime,25,Right (two-handed backhand),7,5 (17-Nov-2025),7 (rating: 1986)
Taylor Fritz,28,Right (two-handed backhand),8,4 (18-Nov-2024),8 (rating: 1980)
Lorenzo Musetti,24,Right (one-handed backhand),5,5 (12-Jan-2026),9 (rating: 1979)
Arthur Fils,21,Right (two-handed backhand),28,14 (14-Apr-2025),10 (rating: 1976)
Ben Shelton,23,Left (two-handed backhand),9,5 (10-Nov-2025),11 (rating: 1973)
Learner Tien,20,Left (two-handed backhand),22,21 (16-Mar-2026),12 (rating: 1947)
Alexander Bublik,28,Right (two-handed backhand),11,10 (12-Jan-2026),13 (rating: 1939)
Jiri Lehecka,24,Right (two-handed backhand),14,14 (30-Mar-2026),14 (rating: 1934)
Jack Draper,24,Left (two-handed backhand),25,4 (09-Jun-2025),15 (rating: 1929)
Jakub Mensik,20,Right (two-handed backhand),26,12 (02-Mar-2026),16 (rating: 1927)
Sebastian Korda,25,Right (two-handed backhand),42,15 (12-Aug-2024),17 (rating: 1924)
Casper Ruud,27,Right (two-handed backhand),12,2 (12-Sep-2022),18 (rating: 1922)
Joao Fonseca,19,Right (two-handed backhand),40,24 (03-Nov-2025),19 (rating: 1920)
Tommy Paul,28,Right (two-handed backhand),21,8 (09-Jun-2025),20 (rating: 1919)
