player,surface,match_record,match_wins,match_losses,match_pct,tiebreak_record,tiebreak_wins,tiebreak_losses,tiebreak_pct,ace_rate_pct,first_serve_in_pct,first_serve_points_won_pct,second_serve_points_won_pct,service_games_held_pct,service_points_won_pct,return_games_won_pct,return_points_won_pct,total_points_won_pct,dominance_ratio
Carlos Alcaraz,Overall last 52,70-7 (91%),70,7,91%,20-13 (61%),20,13,61%,7.5%,65.5%,74.7%,57.1%,89.1%,68.6%,30.1%,41.4%,54.5%,1.32
Carlos Alcaraz,Hard,40-5 (89%),40,5,89%,10-7 (59%),10,7,59%,7.7%,66.1%,75.9%,57.6%,90.6%,69.7%,30.0%,41.2%,54.7%,1.36
Carlos Alcaraz,Clay,19-1 (95%),19,1,95%,8-2 (80%),8,2,80%,3.5%,67.2%,69.5%,56.7%,84.1%,65.3%,36.2%,44.7%,54.7%,1.29
Carlos Alcaraz,Grass,11-1 (92%),11,1,92%,2-4 (33%),2,4,33%,12.4%,61.6%,78.9%,56.5%,91.4%,70.3%,22.6%,37.5%,53.6%,1.26
Jannik Sinner,Overall last 52,72-8 (90%),72,8,90%,19-5 (79%),19,5,79%,10.8%,63.7%,79.8%,58.2%,92.2%,71.9%,32.3%,42.2%,56.3%,1.51
Jannik Sinner,Hard,51-5 (91%),51,5,91%,15-1 (94%),15,1,94%,12.5%,64.3%,81.3%,57.4%,93.1%,72.8%,31.5%,41.7%,56.5%,1.53
Jannik Sinner,Clay,13-2 (87%),13,2,87%,3-4 (43%),3,4,43%,5.5%,61.6%,74.5%,59.3%,88.2%,68.7%,38.7%,45.2%,56.3%,1.44
Jannik Sinner,Grass,8-1 (89%),8,1,89%,1-0 (100%),1,0,100%,11.0%,63.6%,80.2%,60.3%,93.5%,72.9%,26.4%,40.1%,55.6%,1.48
Alexander Zverev,Overall last 52,60-23 (72%),60,23,72%,30-18 (63%),30,18,63%,10.8%,72.5%,74.9%,54.1%,88.2%,69.2%,21.6%,37.0%,52.5%,1.20
Alexander Zverev,Hard,37-16 (70%),37,16,70%,15-12 (56%),15,12,56%,11.9%,72.9%,75.1%,54.0%,88.7%,69.3%,19.5%,35.7%,51.9%,1.16
Alexander Zverev,Clay,17-4 (81%),17,4,81%,7-3 (70%),7,3,70%,7.3%,69.6%,73.0%,55.0%,84.6%,67.5%,32.4%,42.4%,54.1%,1.30
Alexander Zverev,Grass,6-3 (67%),6,3,67%,8-3 (73%),8,3,73%,12.4%,76.3%,77.5%,53.0%,92.6%,71.7%,10.7%,33.0%,51.9%,1.17
Novak Djokovic,Overall last 52,34-7 (83%),34,7,83%,8-8 (50%),8,8,50%,9.3%,66.2%,76.3%,55.4%,87.8%,69.2%,26.1%,39.7%,54.0%,1.29
Novak Djokovic,Hard,20-4 (83%),20,4,83%,5-4 (56%),5,4,56%,9.3%,65.4%,75.8%,56.0%,87.6%,68.9%,24.0%,38.2%,53.4%,1.23
Novak Djokovic,Clay,9-2 (82%),9,2,82%,3-2 (60%),3,2,60%,6.4%,66.2%,76.2%,56.9%,89.5%,69.7%,25.9%,40.4%,54.7%,1.33
Novak Djokovic,Grass,5-1 (83%),5,1,83%,0-2 (0%),0,2,0%,14.1%,69.5%,77.9%,50.3%,85.4%,69.5%,34.0%,43.4%,55.3%,1.42
Lorenzo Musetti,Overall last 52,40-21 (66%),40,21,66%,8-13 (38%),8,13,38%,6.6%,65.0%,72.5%,56.0%,84.8%,66.7%,25.1%,38.6%,52.4%,1.16
Lorenzo Musetti,Hard,27-16 (63%),27,16,63%,5-9 (36%),5,9,36%,7.6%,64.4%,73.2%,56.6%,85.1%,67.3%,23.7%,37.9%,52.3%,1.16
Lorenzo Musetti,Clay,13-4 (76%),13,4,76%,3-4 (43%),3,4,43%,4.3%,66.8%,71.5%,53.9%,84.8%,65.7%,30.3%,40.9%,53.2%,1.19
Lorenzo Musetti,Grass,0-1 (0%),0,1,0%,0-0 (-),0,0,,5.6%,58.9%,61.9%,61.4%,72.2%,61.7%,5.3%,29.7%,45.4%,0.78
Alex De Minaur,Overall last 52,50-22 (69%),50,22,69%,17-9 (65%),17,9,65%,5.8%,57.5%,72.9%,57.2%,85.1%,66.2%,25.8%,39.5%,52.6%,1.17
Alex De Minaur,Hard,38-16 (70%),38,16,70%,11-9 (55%),11,9,55%,6.6%,59.0%,72.6%,57.7%,86.5%,66.5%,25.3%,39.6%,52.8%,1.18
Alex De Minaur,Clay,9-4 (69%),9,4,69%,4-0 (100%),4,0,100%,3.4%,52.8%,74.4%,55.1%,80.7%,65.3%,26.5%,38.5%,51.7%,1.11
Alex De Minaur,Grass,3-2 (60%),3,2,60%,2-0 (100%),2,0,100%,4.2%,54.2%,72.0%,58.2%,82.4%,65.6%,28.4%,40.6%,52.5%,1.18
Felix Auger Aliassime,Overall last 52,50-23 (68%),50,23,68%,29-14 (67%),29,14,67%,13.7%,66.5%,77.6%,52.7%,87.1%,69.2%,18.9%,36.2%,52.0%,1.18
Felix Auger Aliassime,Hard,39-14 (74%),39,14,74%,26-7 (79%),26,7,79%,14.3%,67.4%,78.1%,52.6%,88.3%,69.8%,18.2%,35.8%,52.1%,1.18
Felix Auger Aliassime,Clay,5-5 (50%),5,5,50%,2-3 (40%),2,3,40%,7.5%,65.0%,72.1%,52.3%,80.2%,65.2%,22.8%,38.8%,51.2%,1.11
Felix Auger Aliassime,Grass,6-4 (60%),6,4,60%,1-4 (20%),1,4,20%,17.1%,63.4%,80.0%,53.4%,87.7%,70.2%,18.7%,36.0%,52.3%,1.21
Ben Shelton,Overall last 52,42-22 (66%),42,22,66%,28-17 (62%),28,17,62%,13.3%,65.4%,76.6%,55.6%,88.7%,69.3%,15.2%,32.7%,51.1%,1.07
Ben Shelton,Hard,28-13 (68%),28,13,68%,15-10 (60%),15,10,60%,14.2%,66.9%,77.1%,55.5%,89.5%,70.0%,16.0%,33.2%,51.5%,1.10
Ben Shelton,Clay,8-5 (62%),8,5,62%,8-1 (89%),8,1,89%,9.3%,63.2%,73.6%,56.3%,82.5%,67.2%,14.0%,32.6%,50.0%,1.00
Ben Shelton,Grass,6-4 (60%),6,4,60%,5-6 (45%),5,6,45%,14.8%,62.8%,78.2%,55.2%,93.6%,69.7%,13.7%,31.2%,51.0%,1.03
Taylor Fritz,Overall last 52,51-25 (67%),51,25,67%,34-21 (62%),34,21,62%,15.8%,64.5%,79.6%,53.5%,88.8%,70.4%,15.4%,34.4%,52.0%,1.16
Taylor Fritz,Hard,35-19 (65%),35,19,65%,26-12 (68%),26,12,68%,16.2%,64.7%,79.3%,52.2%,88.4%,69.8%,14.9%,34.7%,51.8%,1.15
Taylor Fritz,Clay,3-4 (43%),3,4,43%,1-3 (25%),1,3,25%,10.4%,60.7%,78.0%,47.0%,81.9%,65.8%,14.6%,32.9%,49.2%,0.96
Taylor Fritz,Grass,13-2 (87%),13,2,87%,7-6 (54%),7,6,54%,16.8%,65.3%,81.1%,60.5%,92.3%,74.0%,17.5%,34.0%,53.6%,1.31
Daniil Medvedev,Overall last 52,46-21 (69%),46,21,69%,12-19 (39%),12,19,39%,11.4%,64.0%,75.6%,49.1%,85.1%,66.1%,26.9%,39.7%,52.6%,1.17
Daniil Medvedev,Hard,37-14 (73%),37,14,73%,10-13 (43%),10,13,43%,11.8%,64.5%,75.7%,48.9%,84.8%,66.2%,29.2%,41.1%,53.3%,1.22
Daniil Medvedev,Clay,4-4 (50%),4,4,50%,0-0 (-),0,0,,6.6%,60.1%,71.2%,48.7%,76.9%,62.2%,25.3%,38.7%,50.3%,1.02
Daniil Medvedev,Grass,5-3 (63%),5,3,63%,2-6 (25%),2,6,25%,12.8%,64.5%,78.3%,50.9%,94.0%,68.6%,14.1%,31.8%,50.2%,1.01
Alexander Bublik,Overall last 52,56-19 (75%),56,19,75%,21-14 (60%),21,14,60%,14.2%,63.1%,78.7%,50.3%,88.1%,68.3%,20.0%,35.7%,52.0%,1.12
Alexander Bublik,Hard,26-13 (67%),26,13,67%,13-12 (52%),13,12,52%,15.2%,63.6%,79.6%,49.6%,89.5%,68.7%,15.9%,33.9%,51.3%,1.08
Alexander Bublik,Clay,25-5 (83%),25,5,83%,5-1 (83%),5,1,83%,11.9%,62.4%,77.3%,50.5%,85.8%,67.2%,26.2%,38.4%,52.8%,1.17
Alexander Bublik,Grass,5-1 (83%),5,1,83%,3-1 (75%),3,1,75%,18.4%,63.8%,79.5%,53.4%,89.5%,70.0%,16.5%,34.1%,51.9%,1.14
Casper Ruud,Overall last 52,35-19 (65%),35,19,65%,10-7 (59%),10,7,59%,8.5%,65.7%,72.8%,54.0%,85.2%,66.4%,21.3%,36.2%,51.5%,1.08
Casper Ruud,Hard,20-14 (59%),20,14,59%,9-7 (56%),9,7,56%,10.1%,66.5%,74.5%,54.8%,87.9%,67.9%,18.4%,34.5%,51.4%,1.07
Casper Ruud,Clay,15-5 (75%),15,5,75%,1-0 (100%),1,0,100%,5.6%,64.1%,69.5%,52.6%,80.1%,63.5%,27.1%,39.4%,51.5%,1.08
Casper Ruud,Grass,0-0 (-),0,0,,0-0 (-),0,0,,,,,,,,,,,
Jiri Lehecka,Overall last 52,40-23 (63%),40,23,63%,17-14 (55%),17,14,55%,10.7%,63.4%,75.0%,53.0%,84.8%,66.9%,19.6%,35.6%,51.1%,1.08
Jiri Lehecka,Hard,27-15 (64%),27,15,64%,13-11 (54%),13,11,54%,10.5%,63.4%,76.3%,52.7%,86.1%,67.7%,18.3%,35.1%,51.2%,1.09
Jiri Lehecka,Clay,6-5 (55%),6,5,55%,2-2 (50%),2,2,50%,7.9%,64.7%,66.8%,50.9%,75.2%,61.2%,26.8%,39.5%,50.3%,1.02
Jiri Lehecka,Grass,7-3 (70%),7,3,70%,2-1 (67%),2,1,67%,15.2%,61.6%,80.7%,56.7%,90.4%,71.5%,16.7%,32.8%,51.5%,1.15
Karen Khachanov,Overall last 52,34-24 (59%),34,24,59%,12-20 (38%),12,20,38%,8.7%,63.7%,74.8%,53.1%,84.3%,66.9%,21.1%,36.5%,51.4%,1.10
Karen Khachanov,Hard,17-15 (53%),17,15,53%,6-15 (29%),6,15,29%,10.2%,64.2%,76.9%,52.0%,86.9%,68.0%,19.1%,35.4%,51.4%,1.11
Karen Khachanov,Clay,9-6 (60%),9,6,60%,2-2 (50%),2,2,50%,5.3%,63.2%,70.8%,51.7%,77.8%,63.7%,25.6%,39.9%,51.5%,1.10
Karen Khachanov,Grass,8-3 (73%),8,3,73%,4-3 (57%),4,3,57%,8.8%,63.2%,74.1%,57.3%,85.2%,67.9%,20.9%,35.1%,51.6%,1.09
Andrey Rublev,Overall last 52,35-24 (59%),35,24,59%,16-14 (53%),16,14,53%,10.1%,59.8%,77.7%,50.8%,84.3%,66.9%,21.4%,36.9%,51.6%,1.12
Andrey Rublev,Hard,23-16 (59%),23,16,59%,9-11 (45%),9,11,45%,10.7%,59.6%,78.3%,50.7%,85.1%,67.2%,20.7%,36.7%,51.5%,1.12
Andrey Rublev,Clay,8-6 (57%),8,6,57%,2-0 (100%),2,0,100%,8.3%,59.4%,73.9%,48.4%,78.3%,63.5%,26.4%,39.9%,51.5%,1.09
Andrey Rublev,Grass,4-2 (67%),4,2,67%,5-3 (63%),5,3,63%,10.6%,61.1%,80.7%,55.5%,89.5%,70.9%,16.7%,33.2%,52.2%,1.14
Flavio Cobolli,Overall last 52,38-27 (58%),38,27,58%,26-14 (65%),26,14,65%,6.5%,56.1%,70.2%,52.3%,78.0%,62.4%,21.6%,37.2%,49.9%,0.99
Flavio Cobolli,Hard,21-18 (54%),21,18,54%,13-10 (57%),13,10,57%,7.9%,54.3%,72.0%,51.5%,77.6%,62.6%,18.4%,34.9%,49.0%,0.93
Flavio Cobolli,Clay,11-6 (65%),11,6,65%,5-2 (71%),5,2,71%,3.3%,56.8%,65.0%,52.1%,73.6%,59.4%,31.2%,43.0%,51.2%,1.06
Flavio Cobolli,Grass,6-3 (67%),6,3,67%,8-2 (80%),8,2,80%,7.2%,61.0%,72.7%,55.3%,85.5%,65.9%,17.5%,35.2%,51.1%,1.03
Alejandro Davidovich Fokina,Overall last 52,35-24 (59%),35,24,59%,14-14 (50%),14,14,50%,5.2%,67.8%,70.2%,53.0%,81.8%,64.6%,23.8%,37.8%,51.3%,1.07
Alejandro Davidovich Fokina,Hard,25-17 (60%),25,17,60%,11-10 (52%),11,10,52%,5.9%,67.4%,71.3%,53.2%,83.7%,65.4%,22.4%,36.8%,51.2%,1.06
Alejandro Davidovich Fokina,Clay,5-5 (50%),5,5,50%,0-3 (0%),0,3,0%,2.5%,70.4%,65.0%,48.0%,72.0%,60.0%,32.5%,41.5%,50.8%,1.04
Alejandro Davidovich Fokina,Grass,5-2 (71%),5,2,71%,3-1 (75%),3,1,75%,5.0%,66.8%,70.9%,57.6%,84.5%,66.5%,20.8%,38.0%,52.1%,1.13
Tommy Paul,Overall last 52,33-14 (70%),33,14,70%,13-8 (62%),13,8,62%,7.3%,61.6%,74.1%,54.6%,84.1%,66.6%,23.9%,37.8%,52.0%,1.13
Tommy Paul,Hard,17-9 (65%),17,9,65%,7-6 (54%),7,6,54%,9.3%,60.2%,77.6%,57.6%,88.0%,69.6%,21.4%,37.1%,52.6%,1.22
Tommy Paul,Clay,15-3 (83%),15,3,83%,6-2 (75%),6,2,75%,4.6%,64.3%,69.4%,50.3%,78.5%,62.6%,27.9%,38.9%,51.2%,1.04
Tommy Paul,Grass,1-2 (33%),1,2,33%,0-0 (-),0,0,,7.1%,56.4%,76.1%,53.7%,83.3%,66.3%,22.4%,37.0%,51.2%,1.10
Francisco Cerundolo,Overall last 52,36-24 (60%),36,24,60%,13-7 (65%),13,7,65%,4.6%,60.9%,68.7%,51.7%,76.0%,62.0%,29.1%,40.4%,51.3%,1.06
Francisco Cerundolo,Hard,16-12 (57%),16,12,57%,9-2 (82%),9,2,82%,5.0%,60.4%,68.8%,51.0%,74.8%,61.8%,25.0%,38.6%,50.5%,1.01
Francisco Cerundolo,Clay,20-10 (67%),20,10,67%,4-4 (50%),4,4,50%,4.1%,60.9%,68.4%,53.1%,77.6%,62.4%,34.6%,43.1%,52.7%,1.15
Francisco Cerundolo,Grass,0-2 (0%),0,2,0%,0-1 (0%),0,1,0%,5.2%,65.1%,69.6%,45.9%,72.7%,61.3%,17.6%,30.3%,46.4%,0.78
Frances Tiafoe,Overall last 52,33-23 (59%),33,23,59%,13-6 (68%),13,6,68%,9.3%,58.3%,74.5%,53.1%,82.3%,65.6%,20.7%,35.5%,50.6%,1.03
Frances Tiafoe,Hard,23-15 (61%),23,15,61%,9-5 (64%),9,5,64%,9.8%,58.7%,74.6%,52.2%,82.0%,65.3%,21.2%,35.3%,50.5%,1.02
Frances Tiafoe,Clay,9-6 (60%),9,6,60%,4-1 (80%),4,1,80%,7.2%,59.0%,74.2%,56.9%,84.3%,67.1%,19.5%,36.2%,51.2%,1.10
Frances Tiafoe,Grass,1-2 (33%),1,2,33%,0-0 (-),0,0,,12.5%,51.6%,74.5%,47.8%,77.3%,61.6%,20.5%,34.5%,48.4%,0.90
