surface,match,tiebreak,ace%,1stin,1st%,2nd%,hld%,spw,brk%,rpw,tpw,dr,player
Overall last 52,72-8 (90%),19-5 (79%),10.8%,63.7%,79.8%,58.2%,92.2%,71.9%,32.3%,42.2%,56.3%,1.51,Jannik Sinner
Hard,51-5 (91%),15-1 (94%),12.5%,64.3%,81.3%,57.4%,93.1%,72.8%,31.5%,41.7%,56.5%,1.53,Jannik Sinner
Clay,13-2 (87%),3-4 (43%),5.5%,61.6%,74.5%,59.3%,88.2%,68.7%,38.7%,45.2%,56.3%,1.44,Jannik Sinner
Grass,8-1 (89%),1-0 (100%),11.0%,63.6%,80.2%,60.3%,93.5%,72.9%,26.4%,40.1%,55.6%,1.48,Jannik Sinner
Overall last 52,70-7 (91%),20-13 (61%),7.5%,65.5%,74.7%,57.1%,89.1%,68.6%,30.1%,41.4%,54.5%,1.32,Carlos Alcaraz
Hard,40-5 (89%),10-7 (59%),7.7%,66.1%,75.9%,57.6%,90.6%,69.7%,30.0%,41.2%,54.7%,1.36,Carlos Alcaraz
Clay,19-1 (95%),8-2 (80%),3.5%,67.2%,69.5%,56.7%,84.1%,65.3%,36.2%,44.7%,54.7%,1.29,Carlos Alcaraz
Grass,11-1 (92%),2-4 (33%),12.4%,61.6%,78.9%,56.5%,91.4%,70.3%,22.6%,37.5%,53.6%,1.26,Carlos Alcaraz
Overall last 52,34-7 (83%),8-8 (50%),9.3%,66.2%,76.3%,55.4%,87.8%,69.2%,26.1%,39.7%,54.0%,1.29,Novak Djokovic
Hard,20-4 (83%),5-4 (56%),9.3%,65.4%,75.8%,56.0%,87.6%,68.9%,24.0%,38.2%,53.4%,1.23,Novak Djokovic
Clay,9-2 (82%),3-2 (60%),6.4%,66.2%,76.2%,56.9%,89.5%,69.7%,25.9%,40.4%,54.7%,1.33,Novak Djokovic
Grass,5-1 (83%),0-2 (0%),14.1%,69.5%,77.9%,50.3%,85.4%,69.5%,34.0%,43.4%,55.3%,1.42,Novak Djokovic
Overall last 52,60-23 (72%),30-18 (63%),10.8%,72.5%,74.9%,54.1%,88.2%,69.2%,21.6%,37.0%,52.5%,1.20,Alexander Zverev
Hard,37-16 (70%),15-12 (56%),11.9%,72.9%,75.1%,54.0%,88.7%,69.3%,19.5%,35.7%,51.9%,1.16,Alexander Zverev
Clay,17-4 (81%),7-3 (70%),7.3%,69.6%,73.0%,55.0%,84.6%,67.5%,32.4%,42.4%,54.1%,1.30,Alexander Zverev
